x R' D' B M' D M D' M B' D L' R' R'  (13sq) 
x R' D' B' M' D M D' M B D L' R' R'  (13sq) 
x' L R B M' D' B' M' B D M B' R' R'  (13sq) 
x' L R B' M' D' B M' B' D M B R' R'  (13sq) 
x' L B' M' B' F' F' M B' M' B' F' F' R'  (13sq) 
x' R M' F L M F' D' M' D F R' D' R'  (13sq) 
x' L D F R F' D' M' D F R' F' D' R'  (13sq) 
x' L D F M B D M' D' B' M' F' D' R'  (13sq) 
x' L D F' R F' D' M' D F R' F D' R'  (13sq) 
x' L D F' M B D M' D' B' M' F D' R'  (13sq) 
x' L D B L' F D M' D' F' L B' D' R'  (13sq) 
x' L M' B' M' B D M B' M B M' D' R'  (13sq) 
x R M' B R D' B' M' B D L' M' D' R'  (13sq) 
x' L D L M D' B' M' B D L' M' D' R'  (13sq) 
x' L D' F M B D' M' D B' M' F' D R'  (13sq) 
x' L D' F' M B D' M' D B' M' F D R'  (13sq) 
x' L M' B' M' B D' M B' M B M' D R'  (13sq) 
x' L' L' D R F' D' M' D F R' D' L' R'  (13sq) 
x' L' L' D M B D M' D' B' M' D' L' R'  (13sq) 
x' L' L' D' M B D' M' D B' M' D L' R'  (13sq) 
x' L' D R F' D' M' D F R' D' L' L' R'  (13sq) 
x' L' D M B D M' D' B' M' D' L' L' R'  (13sq) 
x' L' D' M B D' M' D B' M' D L' L' R'  (13sq) 
x' L' B' U M' B M' B' M U' B L' L' R'  (13sq) 
x' L' B' U' M' B M' B' M U B L' L' R'  (13sq) 
x' L' M' B' M B M B' M' M' B L' L' R'  (13sq) 
x' L' L' B' U M' B M' B' M U' B L' R'  (13sq) 
x' L' L' B' U' M' B M' B' M U B L' R'  (13sq) 
x' L' L' M' B' M B M B' M' M' B L' R'  (13sq) 
x R' R' M B' M B M B' M' M' B L' R'  (13sq) 
x R' R' M' M' B' M' B M' B' M B L' R'  (13sq) 
x R U L' B M' B' M' B' M' B R B' R'  (13sq) 
x' L M' B D' D' M' B' M B D' D' B' R'  (13sq) 
x' L M' B M' B M' B M B' B' M B' R'  (13sq) 
x' L B M' D' D' B' M' B D' D' M B' R'  (13sq) 
x' L B' U' U' M' B M' B' M U' U' B R'  (13sq) 
x L M' F' M F M F' L' L' R' R' B R'  (13sq) 
x R U' L' U' M' U M' U M' U' R B R'  (13sq) 
x' L B' D B M D' M' D M' B' D' B R'  (13sq) 
x' L B' D' B M D M' D' M' B' D B R'  (13sq) 
x' L B' L' D M' D' M' D M D' L B R'  (13sq) 
x L F' M' F M' F' L' L' R' R' M' B R'  (13sq) 
x' L M' B' D M B M B' M' D' M' B R'  (13sq) 
x' L M' B' D' M B M B' M' D M' B R'  (13sq) 
