x F R' D F' M F D' R F'  (9sq*) 
x F D' L' M' F U' M U F' L M D F'  (13sq) 
x F L' U' L M' F M F' L' M U L F'  (13sq) 
x M F L' F M' M' U M' U' M' F' L F'  (13sq) 
x M F L' F' U' M U' M' U' U' F L F'  (13sq) 
x F' F' M F' L' F' U' M U M' F L F'  (13sq) 
x F L' D M' F U' M U F' M D' L F'  (13sq) 
x F L' D' M' F U' M U F' M D L F'  (13sq) 
x F B R F D' B M B' D F' R' B' F'  (13sq) 
x F B R' B' D F' M F D' B R B' F'  (13sq) 
x F B L D B' U M U' B D' L' B' F'  (13sq) 
x B M F L' F' U' M U M' F L B' F'  (13sq) 
x F B L' D' F U' M U F' D L B' F'  (13sq) 
x' B L' M' B D' M D B' L' R' R' M' F'  (13sq) 
x M F R' M D' F' M F M' D R M' F'  (13sq) 
x R' F M F' R F L' U M U' L M' F'  (13sq) 
x' B R' U B' M B U' L' L' R' M' M' F'  (13sq) 
x F M' U F' M F' M F M' F U' M F'  (13sq) 
x R' F M' F' R M F' M F M' F M F'  (13sq) 
x F' R' F D M D M D' M' D' F' R F  (13sq) 
x F' D R' F M' D' M D M F' R D' F  (13sq) 
x F' D R' D' M F M F' M' D R D' F  (13sq) 
x F' D L' U M' F' M F M U' L D' F  (13sq) 
x F' D L' F' M U M U' M' F L D' F  (13sq) 
x F' L' D U R' D' M D R D' U' L F  (13sq) 
x L' U' M' M' U L F' L' U M' U' L F  (13sq) 
x F' M' U F M F M F' M' F' U' M F  (13sq) 
x D R' F' L R D' M D L' R' F R D'  (13sq) 
x D R' B L' R' D M D' L R B' R D'  (13sq) 
x D F' M' U' R F' M F R' U M F D'  (13sq) 
x D B' U' R F' D M D' F R' U B D'  (13sq) 
x D M D B' R B' M B R' B D' M' D'  (13sq) 
x D M' U' L R F' M F L' R' U M D'  (13sq) 
x D M' D L' R' F M F' L R D' M D'  (13sq) 
x D M' D F R' F M F' R F' D' M D'  (13sq) 
x D' F M' U' L' F M F' L U M F' D  (13sq) 
x D' F L' M' U' F M F' U L M F' D  (13sq) 
x D' F' R' B D' F M F' D B' R F D  (13sq) 
x D' F' L' D F' U M U' F D' L F D  (13sq) 
x D' L' D F' L' U M U' L F D' L D  (13sq) 
x D' B U' L' F D' M D F' L U B' D  (13sq) 
x D' B R' F' D B' M B D' F R B' D  (13sq) 
x D' B L' U' F D' M D F' U L B' D  (13sq) 
x M' M' D' B' R B D' M' D B' R' B D  (13sq) 
x D' M D' B' R B' M B R' B D M' D  (13sq) 
x D' M' D' F R' F M F' R F' D M D  (13sq) 
x B L U' M' U L' B' L U M' M' U' L'  (13sq) 
x L U' R B' R' U M U' R B R' U L'  (13sq) 
x L U' L' B L U' M U L' B' L U L'  (13sq) 
x' R M' D L' M' D F' M F D' R F' L'  (13sq) 
x L F D R' D F' M F D' R D' F' L'  (13sq) 
x L F D' R' D F' M F D' R D F' L'  (13sq) 
x L M F L' F' U' M U M' F L F' L'  (13sq) 
x R U R' M F' U' M U M' F L F' L'  (13sq) 
x' R D L' D' F' M F M' D R M' F' L'  (13sq) 
x R M' U R' F U' M U F' L M F' L'  (13sq) 
x L F L' M' F U' M U F' L M F' L'  (13sq) 
x U' M' M' U L F' L' U M' U' L F L'  (13sq) 
x L D' F R' F' D M D' F R F' D L'  (13sq) 
x L' L' F R' D F' M F D' R F' L' L'  (13sq) 
x L' U' R B' R' U M U' R B R' U L  (13sq) 
x L' U' L' B L U' M U L' B' L U L  (13sq) 
x R' M D L' M' D F' M F D' R F' L  (13sq) 
x L' F D R' D F' M F D' R D' F' L  (13sq) 
x L' F D' R' D F' M F D' R D F' L  (13sq) 
x L' M F L' F' U' M U M' F L F' L  (13sq) 
x' R' M U R' F U' M U F' L M F' L  (13sq) 
x L' F L' M' F U' M U F' L M F' L  (13sq) 
x L' D' F R' F' D M D' F R F' D L  (13sq) 
x M U' M U M' M' B U' B' M B U B'  (13sq) 
x B R F' F' D' B M B' D F' F' R' B'  (13sq) 
x B R B' D' M' D' M D M D B R' B'  (13sq) 
x M' M' B D' R B D' M' D B' R' D B'  (13sq) 
x M' B' U L' B M' B' L U' B' M' B' B'  (13sq) 
x B' R D' B M' B' D R' B' M' M' B' B'  (13sq) 
x B M U' B M' B M B' M B' U M' B'  (13sq) 
x B M U' B' M' B' M B M B U M' B'  (13sq) 
x M U' M U M' M' B' U' B M B' U B  (13sq) 
x B' R F' F' D' B M B' D F' F' R' B  (13sq) 
x B' R B' D' M' D' M D M D B R' B  (13sq) 
x M' M' B' D' R B D' M' D B' R' D B  (13sq) 
x B' M U' B M' B M B' M B' U M' B  (13sq) 
x B' M U' B' M' B' M B M B U M' B  (13sq) 
x F' R' D F' M' F D' R F' M' F' F' M'  (13sq) 
x F R' D F' M' F D' R F M' F' F' M'  (13sq) 
x F' R' D F' M F D' R F' M F' F' M'  (13sq) 
x M' F R' D L' F M' F' L D' R F' M'  (13sq) 
x M U' M U M' F L F' M F L' F' M'  (13sq) 
x M' F L U' L F' M' F L' U L' F' M'  (13sq) 
x M' M' F L' F' M U' M' U F L F' M'  (13sq) 
x M' F L' U' L F' M' F L' U L F' M'  (13sq) 
x F R' F' M F R U' F' M F U F' M'  (13sq) 
x F' F' M' F' U' L F' M' F L' U F' M'  (13sq) 
x M' F U' R M' U' M' U R' M U F' M'  (13sq) 
x M' F M' F L' U M' U' L F' M F' M'  (13sq) 
x M' F' R' D L' F M' F' L D' R F M'  (13sq) 
x M' U M' U' M' F' L F' M F L' F M'  (13sq) 
x M' F' L U' L F' M' F L' U L' F M'  (13sq) 
x M' M' F' L' F' M U' M' U F L F M'  (13sq) 
x M' F' L' U' L F' M' F L' U L F M'  (13sq) 
x F' R' F' M F R U' F' M F U F M'  (13sq) 
x F' F' M' F U' L F' M' F L' U F M'  (13sq) 
x L M' F' M' F L' F' M U' M' U F M'  (13sq) 
x M' F' U' R M' U' M' U R' M U F M'  (13sq) 
x M' F' M' F L' U M' U' L F' M F M'  (13sq) 
x L' M F' U' M U M' F L F' M F M'  (13sq) 
x R M' D R F' D M' D' F R' D' R' M'  (13sq) 
x' L F L M F' D M' D' F R' D' R' M'  (13sq) 
x L B R D' B M' B' D L' M' D' R' M'  (13sq) 
x R M' U R' F U' M' U F' R U' R' M'  (13sq) 
x L F L' M' F U' M' U F' R U' R' M'  (13sq) 
x' L B R' U B' M' B U' L M U' R' M'  (13sq) 
x R M' U' R' F U' M' U F' R U R' M'  (13sq) 
x L F' L' M' F U' M' U F' R U R' M'  (13sq) 
x' L B' R' U B' M' B U' L M U R' M'  (13sq) 
x R' M D R' B D' M D B' R D' R M'  (13sq) 
x' L' B L' M' B D' M D B' R D' R M'  (13sq) 
x L' F R' D F' M F D' L M D' R M'  (13sq) 
x M' D R F' R D M' D' R' F R' D' M'  (13sq) 
x M D R' B R' D' M D R B' R D' M'  (13sq) 
x M' B R D' L B' M' B L' D R' B' M'  (13sq) 
x M' B L U L' B M' B' L U' L' B' M'  (13sq) 
x M' B L' U L' B M' B' L U' L B' M'  (13sq) 
x B R B M' B' R' U B' M' B U' B' M'  (13sq) 
x B' B' M' B' U L' B M' B' L U' B' M'  (13sq) 
x M' B U R' M U M' U' R M' U' B' M'  (13sq) 
x M' B M B' L U' M' U L' B M' B' M'  (13sq) 
x L M' F U' L F' M' F L' U F' L' M'  (13sq) 
x L M' F' U' L F' M' F L' U F L' M'  (13sq) 
x M F' U' M U M' F L F' M F L' M'  (13sq) 
x L M' B U L' B M' B' L U' B' L' M'  (13sq) 
x L M' U B L' B M' B' L B' U' L' M'  (13sq) 
x L M' U B' R B' M' B R' B U' L' M'  (13sq) 
x L M' U' F R' F M' F' R F' U L' M'  (13sq) 
x L M' U' F' L F' M' F L' F U L' M'  (13sq) 
x D L' D' M' D L D' L U' M' U L' M'  (13sq) 
x L' M' F U' L F' M' F L' U F' L M'  (13sq) 
x R' D F' R M' F' M' F L' U F' L M'  (13sq) 
x' R' U B' L U' M' U R' M U F' L M'  (13sq) 
x L' M' F' U' L F' M' F L' U F L M'  (13sq) 
x R' D' F' R M' F' M' F L' U F L M'  (13sq) 
x M' F' M' F L' F' M U' M' U F L M'  (13sq) 
x' R' U' B' L U' M' U R' M U F L M'  (13sq) 
x L' M' B U L' B M' B' L U' B' L M'  (13sq) 
x' R' D B R' M B M' B' L U' B' L M'  (13sq) 
x R' U F L' U M' U' R M' U' B' L M'  (13sq) 
x L' M' U B L' B M' B' L B' U' L M'  (13sq) 
x' R' B D R' M B M' B' L B' U' L M'  (13sq) 
x R' F U L' U M' U' R M' B' U' L M'  (13sq) 
x L' M' U B' R B' M' B R' B U' L M'  (13sq) 
x' R' B D' L M B' M' B R' B U' L M'  (13sq) 
x R' F U' R U' M' U L' M' B U' L M'  (13sq) 
x L' M' U' F R' F M' F' R F' U L M'  (13sq) 
x R' F' D L' M' F M' F' R F' U L M'  (13sq) 
x' R' B' U R' U M' U' L M F' U L M'  (13sq) 
