x' M' B' M B' B' M B' R M' B' M' B R'  (13sq) 
x' R M' B' M B' B' M B' M' B' M' B R'  (13sq) 
x' R M' B' M B' B' M B M' B M' B R'  (13sq) 
x' R B' M' U B U' M' U B' U' M B R'  (13sq) 
x' R B' M' U B' U' M' U B U' M B R'  (13sq) 
x' R B' M' U' B U M' U' B' U M B R'  (13sq) 
x' R B' M' U' B' U M' U' B U M B R'  (13sq) 
x' U' R' F' M' F R U R' M' F M F' R  (13sq) 
x' F' L' U' M' U L F R' M' F M F' R  (13sq) 
x' R' F' R U' R' F' M' F R U R' F R  (13sq) 
x' R' F' R F' L' U' M' U L F R' F R  (13sq) 
x' U' M U R' B L' B' M' M' B L B' R  (13sq) 
x' F U F' F' M F M' F' M' F' F' U' F'  (13sq) 
x' M' U' M' M' U M' F U F M' F' U' F'  (13sq) 
x' F U M D' D' F' M' F D' D' M' U' F'  (13sq) 
x' F U F M' M' F' M' F M F' M U' F'  (13sq) 
x' F R U' M U R' U' M' F' M' F U F'  (13sq) 
x' F U' D' L F' D' M' D F L' D U F'  (13sq) 
x' F U' F' M' M' F L F' M F L' U F'  (13sq) 
x' F R B' F' L U' M' U L' B F R' F'  (13sq) 
x' F R B' R' U' F' M' F U R B R' F'  (13sq) 
x' F R' U M D F M' F' D' M' U' R F'  (13sq) 
x' F R' U' M D F M' F' D' M' U R F'  (13sq) 
x' F' F' U B L' B' M' B L B' U' F' F'  (13sq) 
x' U' M' U M' M' U M' U' F' F' M' F' F'  (13sq) 
x' U M' M' U M U' M U' F' F' M' F' F'  (13sq) 
x' M' F L' F U M U' F' L F M' F' F'  (13sq) 
x' U' M' U' M' M' U M U F' F' M F' F'  (13sq) 
x' F D R' F M' D M' D' M F' R D' F'  (13sq) 
x' F D R' D M F M' F' M' D' R D' F'  (13sq) 
x' F D F' L R B' M' B L' R' F D' F'  (13sq) 
x' F D L' U M' F M' F' M U' L D' F'  (13sq) 
x' F D L' F M U M' U' M' F' L D' F'  (13sq) 
x' M' F D L' F' M' U' M U F L D' F'  (13sq) 
x' F D' R B' U' F' M' F U B R' D F'  (13sq) 
x' F D' R' B D F M' F' D' B' R D F'  (13sq) 
x' F D' L U' F' D' M' D F U L' D F'  (13sq) 
x' F D' L' D F U M' U' F' D' L D F'  (13sq) 
x' F L F L' L' U M' U' L' L' F' L' F'  (13sq) 
x' F L' L' F L U M' U' L' F' L' L' F'  (13sq) 
x' F L' U' U' F U' M' U F' U' U' L F'  (13sq) 
x' F L' U D R' D M' D' R D' U' L F'  (13sq) 
x' D F D' L' F L' U L M' U' F' L F'  (13sq) 
x' M F' F' M' F' L' F U M' U' F' L F'  (13sq) 
x' M' F' F' M F' L' F U M' U' F' L F'  (13sq) 
x B L' B D L' L' R' R' M U' F' L F'  (13sq) 
x' F L' F U' M U' M U' U' M F' L F'  (13sq) 
x' F L' F U' M U M F' F' M F L F'  (13sq) 
x' F' F' U B U B' M' U' F' L' B' L F'  (13sq) 
x' F M F U M U' M' U M' U' F' M' F'  (13sq) 
x' F U M U' M F U M' U' M' F' M' F'  (13sq) 
x' F M' M' F' U' F M' F' U M' F M' F'  (13sq) 
x' F M F' L' M U' M' U L M' F M' F'  (13sq) 
x' F M D R' D F M' F' D' R D' M' F'  (13sq) 
x' F M D' R' D F M' F' D' R D M' F'  (13sq) 
x' F M U' L D' F' M' F D L' U M' F'  (13sq) 
x' F M U' M' U F' M' F U' M U M' F'  (13sq) 
x' F M U' M' U' F' M' F U M U M' F'  (13sq) 
x B L' B D M' D' B' L' R' R' M' M' F'  (13sq) 
x' F M' B' F' R B' M' B R' F B M F'  (13sq) 
x B R' M U B M' B' U' L' L' R' M F'  (13sq) 
x' F' U' U' R F' U' M' U F R' U' U' F  (13sq) 
x' F' U F' F' M F' M' F M' F' F' U' F  (13sq) 
x' M' U' M' M' U M' F' U F' M' F U' F  (13sq) 
x' F' U M D' D' F M' F' D' D' M' U' F  (13sq) 
x' F' U F' M' M' F M' F' M F M U' F  (13sq) 
x' F' R U' M U R' U' M' F M' F' U F  (13sq) 
x M B' D' L B L' L' R' R' F' L' U F  (13sq) 
x' F' F' M F U' L F M' M' F' L' U F  (13sq) 
x' M F' U' R M' U M' M' U' R' M U F  (13sq) 
x' F' R B' R' U' F M' F' U R B R' F  (13sq) 
x' M F' R' D L' F' M' M' F L D' R F  (13sq) 
x' F' D F L R B' M' B L' R' F' D' F  (13sq) 
x' M F' L U' L F M' M' F' L' U L' F  (13sq) 
x' M F' L' U' L F M' M' F' L' U L F  (13sq) 
x' M' F' L' F M' M' U' M' U M' F' L F  (13sq) 
x' F' F' M' F L' F' U M U' M' F L F  (13sq) 
x' F' M F B R B' M' B R' B' F' M' F  (13sq) 
x' F' M' M' F U' F' M' F U M' F' M' F  (13sq) 
x' F' M F' U M U' M' U M' U' F M' F  (13sq) 
x' F' U M U' M F' U M' U' M' F M' F  (13sq) 
x' M' F' R' M D' F M F' M' D R M' F  (13sq) 
x' F' M U' R' D F M' F' D' R U M' F  (13sq) 
x' F' M U' M' U F M' F' U' M U M' F  (13sq) 
x' F' M U' M' U' F M' F' U M U M' F  (13sq) 
x' M F' M' F L' U' M' M' U L F' M F  (13sq) 
x' F' M' F L' M U' M' U L M' F' M F  (13sq) 
x' D F U R' B D M' D' B' R U' F' D'  (13sq) 
x' D F D' F L' U M' U' L F' D F' D'  (13sq) 
x B R' M U B R' U' L F' L D F' D'  (13sq) 
x' F L' F U L' M' U' L F' L D F' D'  (13sq) 
x' F L' F U R' F' R M' F' L D F' D'  (13sq) 
x' F L' F U R' F' L D' R M' D F' D'  (13sq) 
