M B' R B' M' B R' B  (8sq*) 
U' M U' M U M U M' U' M U M  (12sq) 
M U M U M' U' U' M U' M U M  (12sq) 
M' F R' F M' F' R F M F' F' M  (12sq) 
M F R' F' M F R F M F' F' M  (12sq) 
M' F' L' U M U' U' M' U L F M  (12sq) 
L D' R' R' D' M' D R' R' D L' M  (12sq) 
L' D' R' R' D' M' D R' R' D L M  (12sq) 
x2 U' L' L' M' M' D' M' D R' R' D M  (12sq) 
x2 U' L' R' M' B' M' B L' R' M' D M  (12sq) 
D' L R M B' M' B L' R' M' D M  (12sq) 
x2 U' R' R' U' M' U L' L' M' M' D M  (12sq) 
D' L' R' M' F' M' F L R M D M  (12sq) 
x2 U' L R M F' M' F L R M D M  (12sq) 
x B' B' L F' L F M F' L' F R' U' U'  (13sq) 
x' F' F' L' F' L F' M' F L' F R U' U'  (13sq) 
x L B U' B' U' M U' R' F' U F U' U'  (13sq) 
x' M' F' F' D' R M' F M F' L' F U' U'  (13sq) 
x' F' F' M' D' R M' F M F' L' F U' U'  (13sq) 
x' M F' F' D' R M' F' M' F L' F U' U'  (13sq) 
x' F' F' M D' R M' F' M' F L' F U' U'  (13sq) 
x M' B' B' U' L U M U' R' M F U' U'  (13sq) 
x B' B' M' U' L U M U' R' M F U' U'  (13sq) 
x M B' B' U' L U' M' U R' M F U' U'  (13sq) 
x B' B' M U' L U' M' U R' M F U' U'  (13sq) 
x L B L F U F' L' B' U M U' R' U'  (13sq) 
x F' M' B M F L R U M U' R' R' U'  (13sq) 
x B L R F R F M F' R' F' R' R' U'  (13sq) 
x B L F R' R' F M F' R' R' F' R' U'  (13sq) 
x B L M B M' U' U' M U' U' B' R' U'  (13sq) 
x B R D L U' U' M U' U' R' B' R' U'  (13sq) 
x B R D R' U' U' M U' U' L B' R' U'  (13sq) 
x M' M' B L M B' M' B' B' M' B' R' U'  (13sq) 
x B R D' L F' F' M F' F' R' B R' U'  (13sq) 
x B R D' R' F' F' M F' F' L B R' U'  (13sq) 
x B L M B' D' D' M D' D' M' B R' U'  (13sq) 
x M' B U L M F' U M U' F R' F' U'  (13sq) 
x' F M' D R' D M D' L' R' R' M' F' U'  (13sq) 
x' M' F D R D' F M F' D L' M' F' U'  (13sq) 
x R' U' M' M' U L U F' U M' U' F U'  (13sq) 
x' F D' L' F' M F R F M' F' M' F U'  (13sq) 
x B L' L' R' F R' F M F' R F' L' U'  (13sq) 
x' F R M' M' F R' F M F' R F' L' U'  (13sq) 
x' F L M' D L' M' F M F' R F' L' U'  (13sq) 
x B L M' U R' U M U' L M F' L' U'  (13sq) 
x B L' R' F R' F M F' R F' L' L' U'  (13sq) 
x' F L' M' D L' M' F M F' R F' L U'  (13sq) 
x B L' M' U R' U M U' L M F' L U'  (13sq) 
x B R' F L' M' U M U' L M F' L U'  (13sq) 
x D' B' M' B D M' B R' B' M' B L U'  (13sq) 
x M B D' B' L M B' M' B R' U B U'  (13sq) 
x' M F U' F' R U' M' U L' M' U B U'  (13sq) 
x B L M D R D M D' R' D' R' M' U'  (13sq) 
x B R F L M D M D' R' D' R' M' U'  (13sq) 
x' F R B R B M B' L' M' D' R' M' U'  (13sq) 
x' F L' M' D R' D M D' R D' R M' U'  (13sq) 
x' F R' B L' M' D M D' R D' R M' U'  (13sq) 
x B R' F R' F M F' L M D' R M' U'  (13sq) 
x' B F L' R' M' D M D' R' R' D' M' U'  (13sq) 
x F B L R M D M D' R' R' D' M' U'  (13sq) 
x' B F R' R' B M B' L' R' M' D' M' U'  (13sq) 
x F B R' R' F M F' L R M D' M' U'  (13sq) 
x' F R U M' F' F' M F' F' U' L' M' U'  (13sq) 
x' M' M' F R U' M' U' U' M' U' L' M' U'  (13sq) 
x' F R U' B' B' M B' B' M' U L' M' U'  (13sq) 
x B M B L F' F' M F' F' R' U' M' U'  (13sq) 
x' F' M' F' L' B' B' M B' B' R U' M' U'  (13sq) 
x' F' M' F' R B' B' M B' B' L' U' M' U'  (13sq) 
x B M B R' F' F' M F' F' L U' M' U'  (13sq) 
x B' M' B L D' D' M' D' D' R' U M' U'  (13sq) 
x B M B' L D' D' M D' D' R' U M' U'  (13sq) 
x B' M' B R' D' D' M' D' D' L U M' U'  (13sq) 
x B M B' R' D' D' M D' D' L U M' U'  (13sq) 
x B M D L M B M B' R' B' M' M' U'  (13sq) 
x' F M U R U M U' L' M' B' M' M' U'  (13sq) 
x' F R B R B M B' R' B' L' M' M' U'  (13sq) 
x B L M' U R' U M U' R U' R' M U'  (13sq) 
x' F L' M U R U M U' R' U' R M U'  (13sq) 
x B' L M' F L F' M' M' F L' F' R' U  (13sq) 
x B' L' D' M D M' D M D' L' L' R' U  (13sq) 
x' M' F' L' M U L F' M' F L' U' R U  (13sq) 
x' F' L' M F L F' M' M' F L' F' R U  (13sq) 
x R' U' M' M' U L U' R' F' M' F R U  (13sq) 
x' F' D M' F' M F L' F M' F' R F' U  (13sq) 
x' F' M' M' D R M' F' M' M' F L' F' U  (13sq) 
x B' M' M' U L U' M' M' U R' M F' U  (13sq) 
x' M' F' D' F' R M' F M F' L' U F U  (13sq) 
x' M F' D' F' R M' F' M' F L' U F U  (13sq) 
x R' U' M' M' U L U' F' U' M' U F U  (13sq) 
x M' B' U' B' L U M U' R' M U F U  (13sq) 
x M B' U' B' L U' M' U R' M U F U  (13sq) 
x' F' D' R M' F M F' F' M' F L' F U  (13sq) 
x B' U' L U M U' U' M' U R' M F U  (13sq) 
x' F' R M U F' U' M' M' U F U' L' U  (13sq) 
x' F' R M U' F' U M' M' U' F U L' U  (13sq) 
x' M' U' F' U L F' R F' L' F U L' U  (13sq) 
x B' L' R' D' M D M' D M D' L' L' U  (13sq) 
x R D' R' B' D' M D R' D' B D L U  (13sq) 
x' F' U F M' F' R M' U' M U L' B' U  (13sq) 
x' F' U F' M' F R M' U' M U L' B' U  (13sq) 
x' M' F' U R M' B' U' M U B L' B' U  (13sq) 
x B M' B' B' D R' M B M B' L B' U  (13sq) 
x B' D' D' M D' R' M B' M' B L B' U  (13sq) 
x' F M' F' F' U L' U M U' R M' B' U  (13sq) 
x' F' U' U' M U' L' U' M' U R M' B' U  (13sq) 
x B' D R' B' M' B L B' M B M B' U  (13sq) 
x B' D B M' B' L B' M B R' M B' U  (13sq) 
