M B' R B' M' B R' B  (8sq*) 
U M U R M' F' F' M F' F' R' U' M' U'  (14sq) 
U' M' U' R M B' B' M B' B' R' U' M' U'  (14sq) 
U' M' U' R B M B' B' M B R' U' M' U'  (14sq) 
U M U R' M' F' F' M F' F' R U' M' U'  (14sq) 
U' M' U' R' M B' B' M B' B' R U' M' U'  (14sq) 
M' U' M' U' B R B M' B' R' B' U' M' U'  (14sq) 
M' U' M' U' B R B' M' B R' B' U' M' U'  (14sq) 
M' M' U M U M' B' B' M' B' B' U' M' U'  (14sq) 
U' M' U' M B U B M B' U' B' U' M' U'  (14sq) 
U' M' U' M B' U B' M B U' B U' M' U'  (14sq) 
U M U L M' F' F' M F' F' L' U' M' U'  (14sq) 
U' M' U' L M B' B' M B' B' L' U' M' U'  (14sq) 
U M U L' M' F' F' M F' F' L U' M' U'  (14sq) 
U' M' U' L' M B' B' M B' B' L U' M' U'  (14sq) 
M' M' U' D' D' M' U' M D' D' M' U' M' U'  (14sq) 
M' D' D' M' U' M' U' M D' D' M' U' M' U'  (14sq) 
D' D' M' M' U' M' U' M D' D' M' U' M' U'  (14sq) 
M D' D' M U' M' U' M D' D' M' U' M' U'  (14sq) 
U M U R D' D' M D' D' R' M' U' M' U'  (14sq) 
U M U R' D' D' M D' D' R M' U' M' U'  (14sq) 
M B M U M U' M' B' U' U' M' U' M' U'  (14sq) 
M B' M U M U' M' B U' U' M' U' M' U'  (14sq) 
F' F' U' M' U M' F' F' U' U' M' U' M' U'  (14sq) 
M' U' U' M' U' M U' M' U' U' M' U' M' U'  (14sq) 
U' U' M' M' U' M U' M' U' U' M' U' M' U'  (14sq) 
M U' U' M U' M U' M' U' U' M' U' M' U'  (14sq) 
x2 L' L' R' R' U M U' M' U' U' M' U' M' U'  (14sq) 
U' M' U' M' M' U' U' M U' U' M' U' M' U'  (14sq) 
F' R' F M' F' R F U' M' U' M' U' M' U'  (14sq) 
U' M' U' M U M U' U' M U M' U' M' U'  (14sq) 
U M U L D' D' M D' D' L' M' U' M' U'  (14sq) 
U M U L' D' D' M D' D' L M' U' M' U'  (14sq) 
U M U M B' B' M B' B' M' M' U' M' U'  (14sq) 
U' M' U' M' F' F' M F' F' M' M' U' M' U'  (14sq) 
F' F' U M U' M' F' F' U' U' M U' M' U'  (14sq) 
M B M U' M' U M' B' U' U' M U' M' U'  (14sq) 
M B' M U' M' U M' B U' U' M U' M' U'  (14sq) 
x2 L' L' R' R' U' M' U M' U' U' M U' M' U'  (14sq) 
M' U' U' M' U M' U M' U' U' M U' M' U'  (14sq) 
U' U' M' M' U M' U M' U' U' M U' M' U'  (14sq) 
M U' U' M U M' U M' U' U' M U' M' U'  (14sq) 
U M U M' M' U' U' M U' U' M U' M' U'  (14sq) 
U' U' M U M U M U' M U' M U' M' U'  (14sq) 
U M U M U M U' U' M U M U' M' U'  (14sq) 
U' M' U' R D' D' M D' D' R' M U' M' U'  (14sq) 
U' M' U' R' D' D' M D' D' R M U' M' U'  (14sq) 
M' D' D' M' U M U M D' D' M U' M' U'  (14sq) 
D' D' M' M' U M U M D' D' M U' M' U'  (14sq) 
M D' D' M U M U M D' D' M U' M' U'  (14sq) 
U' M' U' L D' D' M D' D' L' M U' M' U'  (14sq) 
U' M' U' L' D' D' M D' D' L M U' M' U'  (14sq) 
U' M' U' M U' U' F' F' M F' F' U M' U'  (14sq) 
U' M' U R M' D' D' M' D' D' R' U M' U'  (14sq) 
U M U' R M' D' D' M D' D' R' U M' U'  (14sq) 
R B' M' U' B M B' U M B R' U M' U'  (14sq) 
U' M' U R' M' D' D' M' D' D' R U M' U'  (14sq) 
U M U' R' M' D' D' M D' D' R U M' U'  (14sq) 
U M U M' U' U' B' B' M B' B' U M' U'  (14sq) 
U' M' U B' L' B M' M' B' L B U M' U'  (14sq) 
M U' M' U B' L' B' M B L B U M' U'  (14sq) 
U' M' U L M' D' D' M' D' D' L' U M' U'  (14sq) 
U M U' L M' D' D' M D' D' L' U M' U'  (14sq) 
U' M' U L' M' D' D' M' D' D' L U M' U'  (14sq) 
U M U' L' M' D' D' M D' D' L U M' U'  (14sq) 
U' M' U R B' B' M' B' B' R' M' U M' U'  (14sq) 
U M U' R B' B' M B' B' R' M' U M' U'  (14sq) 
U' M' U R' B' B' M' B' B' R M' U M' U'  (14sq) 
U M U' R' B' B' M B' B' R M' U M' U'  (14sq) 
B' B' U M U M U' U' B' B' M' U M' U'  (14sq) 
U' M' U' F' F' M' F' F' U' U' M' U M' U'  (14sq) 
U M U F' F' M F' F' U' U' M' U M' U'  (14sq) 
U' M' U L B' B' M' B' B' L' M' U M' U'  (14sq) 
U M U' L B' B' M B' B' L' M' U M' U'  (14sq) 
U' M' U L' B' B' M' B' B' L M' U M' U'  (14sq) 
U M U' L' B' B' M B' B' L M' U M' U'  (14sq) 
M' M' U M U' F' F' M' F' F' M' U M' U'  (14sq) 
M' M' U' M' U F' F' M F' F' M' U M' U'  (14sq) 
U' M' U M U' U' M' U' U' M' M' U M' U'  (14sq) 
U M U' M U' U' M U' U' M' M' U M' U'  (14sq) 
F' F' U' M' U' M U' U' F' F' M U M' U'  (14sq) 
U' M' U M' M' F' F' M' F' F' M U M' U'  (14sq) 
U M U' M' M' F' F' M F' F' M U M' U'  (14sq) 
U M B L M U M U' L' M' B' M' M' U'  (14sq) 
M' U' M' U' M' U' M' M' U M' U' M' M' U'  (14sq) 
M U' M' M' U M U M U M U' M' M' U'  (14sq) 
F R' U F' M' F U' R F' M' U M' M' U'  (14sq) 
U L M B R B M B' R' B' L' M' M' U'  (14sq) 
U R D L M B M B' R' B' L' M' M' U'  (14sq) 
x2 D R U R U M U' L' M' B' L' M' M' U'  (14sq) 
U L' M B R B M B' R' B' L M' M' U'  (14sq) 
U B' R B M' M' B' R' B' M B' B' M U'  (14sq) 
x2 D L' L' R' U R' U M U' R U' R' M U'  (14sq) 
U R M' M' U R' U M U' R U' R' M U'  (14sq) 
U L M' F L' M' U M U' R U' R' M U'  (14sq) 
x2 D L M' B R' B M B' L M U' R' M U'  (14sq) 
x2 D L' R' U R' U M U' R U' L' R' M U'  (14sq) 
x2 D R' U R' U M U' R U' L' L' R' M U'  (14sq) 
U R' M' M' U R U M U' R' U' R M U'  (14sq) 
U L' M B L M U M U' R' U' R M U'  (14sq) 
x2 D L' M F R F M F' L' M' U' R M U'  (14sq) 
x2 U' M' D M U L R B M B' L R M U'  (14sq) 
x2 D L R U R U M U' R' U' L R M U'  (14sq) 
U M' M' U F U F' M F U' F' U' M U'  (14sq) 
U M' M' U F' U F M F' U' F U' M U'  (14sq) 
