x' U' F' M' F L' U M' U' L F' M F U  (13sq) 
x' U' F' M' F L' U' M' U L F' M F U  (13sq) 
x' U' D' B D' L U M' U' L' D B' D U  (13sq) 
x' D M D M' U M U M D U M D U  (13sq) 
x' U' L U B' R B' M' B R' B U' L' U  (13sq) 
x' U' L U' F' L F' M' F L' F U L' U  (13sq) 
x' U' L F' U' L F' M' F L' U F L' U  (13sq) 
x' U' L' U B' R B' M' B R' B U' L U  (13sq) 
x' U' L' U' F' L F' M' F L' F U L U  (13sq) 
x' U' L' F' U' L F' M' F L' U F L U  (13sq) 
x L D' R' B' D' M D R' D' B D L U  (13sq) 
x' M' U' B U M' U' L U' M U L' B' U  (13sq) 
x' M' U' B U' M' U L U' M U L' B' U  (13sq) 
x' M' M' U' B L B' U' M U B L' B' U  (13sq) 
x' M' U M' U' U' B L' B M B' L B' U  (13sq) 
x' M' U' B' B' M B' L' B' M' B L B' U  (13sq) 
x' U' B' B' U' U' M U' M U' M B' B' U  (13sq) 
x' B' R B' M' D' R D R' B R' U' B U  (13sq) 
x' U' M B' U L' B' M' M' B L U' B U  (13sq) 
x' M' U' B' L' B' M B' B' M' B' L B U  (13sq) 
x' U' R M' B' R' U M U' R B R' M' U  (13sq) 
x' U' L U' L' M' U M U' R B R' M' U  (13sq) 
x D' L D' R' B M B' L M B R' M' U  (13sq) 
x' U' B L B U M' U' M B' L' B' M' U  (13sq) 
x' M B U B' U' B' U' M' B' U B M' U  (13sq) 
x' M' U' L' B' M B M' B M B' L M' U  (13sq) 
x' M' M' U M U M' U M' U M' U' M' U  (13sq) 
x' M' U' B L' B' M' M' B L B' M' M' U  (13sq) 
x' B L' D B M B' D' L B' U' M' M' U  (13sq) 
x' L F' M F' M F M' F L' U' M' M' U  (13sq) 
x' U M' U M' M' U' M U' M' U' M' M' U  (13sq) 
x' M' U' M U' M U M' U M U' M' M' U  (13sq) 
x' U' M' U' M' U M' M' U M U' M' M' U  (13sq) 
x' U' L U' R' F M F' R U L' M' M' U  (13sq) 
x' M' U' M B U' B' M' M' B U B' M U  (13sq) 
x' M' U' M B' U' B M' M' B' U B M U  (13sq) 
x' R' U L F M' M' F' L' U' R U' M U  (13sq) 
x' R' F R U M' M' U' R' F' R U' M U  (13sq) 
x' B L' B M' B' L B' U M' U' U' M U  (13sq) 
x' L U' R' F' M' M' F R U L' U' M U  (13sq) 
x' L F' L' U' M' M' U L F L' U' M U  (13sq) 
x' U' M' M' F' F' M F' F' U' M' U M U  (13sq) 
x' U' M' D' D' M D' D' M' U' M' U M U  (13sq) 
x' U' B' B' M B' B' M' M' U' M' U M U  (13sq) 
x' U' M U' U' M U' U' M U' M' U M U  (13sq) 
x' U M' M' F' F' M F' F' U M' U M U  (13sq) 
x' U M' D' D' M D' D' M' U M' U M U  (13sq) 
x' U B' B' M B' B' M' M' U M' U M U  (13sq) 
x' U M U' U' M U' U' M U M' U M U  (13sq) 
x' R B' U' M U B U' M' U' M' U' U' R'  (13sq) 
x' R B' U M U' B U M' U M' U' U' R'  (13sq) 
x' R U' B' U' M U B U' M' M' U' U' R'  (13sq) 
x' R U B' U M U' B U M' M' U' U' R'  (13sq) 
x' R B' M' B U' U' B M' B' M U' U' R'  (13sq) 
x' R M' U' R' U M' U' R U' M U' U' R'  (13sq) 
x' L F' L' M' U M' U' R U' M U' U' R'  (13sq) 
x' R M U' R' U' M U R U' M U' U' R'  (13sq) 
x L B' R' B M' B' L M U' M U' U' R'  (13sq) 
x D' L B D' M D L D B D' R' U' R'  (13sq) 
x L B M B M B' R' B' M' B L U' R'  (13sq) 
x' L F' R B' M' F' M B M' F L' U R'  (13sq) 
x' R' R' M' M' D M D M' D M D R' R'  (13sq) 
x M' M' B' R' B' M' B R B L' L' R' R'  (13sq) 
x L' M' M' B' R' B' M' B R B L' R' R'  (13sq) 
x R' M' U' L' M' B' M' B R B L' R' R'  (13sq) 
x' R' M' D' R' D' M' D L M B L' R' R'  (13sq) 
x L' L' M' M' B' R' B' M' B R B R' R'  (13sq) 
x L' R' M' U' L' M' B' M' B R B R' R'  (13sq) 
x' L R M U' L' M' B' M' B R B R' R'  (13sq) 
x' L' R' M' D' R' D' M' D L M B R' R'  (13sq) 
x L R M D' R' D' M' D L M B R' R'  (13sq) 
x' R' R' B' L' M' D' M' D L M B R' R'  (13sq) 
x' R M' F M F M' B M F' M' B' F' R'  (13sq) 
x' L D' R F' M' B M F M' B' L' F R'  (13sq) 
x' R B D' M' D B' D' M D' M' D' D' R'  (13sq) 
x' R B D M' D' B' D M D M' D' D' R'  (13sq) 
x' R B M B' D' D' B' M B M D' D' R'  (13sq) 
x' R M' D R D M' D' R' D M D' D' R'  (13sq) 
x L F L M D M' D' R' D M D' D' R'  (13sq) 
x' R M D R D' M D R' D M D' D' R'  (13sq) 
x' L B R B M' B' L' M' D M D' D' R'  (13sq) 
x L F M D M' D' R' D M D' L D' R'  (13sq) 
