x2 U' R U M U' L' M' B' M' B' B' M'  (12sq) 
D M B' M B R' B' M' B L B' M'  (12sq) 
x2 U' R M' U' M' U' U' M U' L' B M'  (12sq) 
D' L B' M' B' B' M B' R' M B M'  (12sq) 
x2 R D R' R' D M' D' R' R' D' L' M'  (12sq) 
R' D R' R' D' M D R' R' D' L M'  (12sq) 
R' U F' F' U M U' F' F' U' L M'  (12sq) 
R' U F' F' U' M U F' F' U' L M'  (12sq) 
B' L D' R D' M D R' D R' U M'  (12sq) 
B' R' D L' D M D' L D' L U M'  (12sq) 
B' D R' M B M B' L B' M' U M'  (12sq) 
x2 F' U L' U M U' R M' B' M' U M'  (12sq) 
B' D' L M B' M B R' B M' U M'  (12sq) 
x2 F' U' R U' M U L' M' B M' U M'  (12sq) 
L M U B' U' M U B U' R' M' M'  (12sq) 
L M U' B' U M U' B U R' M' M'  (12sq) 
M' M' D L M B M' B' R' B' M' M'  (12sq) 
x2 U L' R' R' M' B' M B R' B' M' M'  (12sq) 
x2 M' M' U R U M' U' L' M' B' M' M'  (12sq) 
x2 R M B R B M' B' R' B' L' M' M'  (12sq) 
x2 R M' B R B' M B R' B' L' M' M'  (12sq) 
L D L M B' M B R' B' L' M' M'  (12sq) 
x2 L U R U' M U L' M' B' L' M' M'  (12sq) 
x2 R M U' M' U M U M' U' L' M' M'  (12sq) 
x2 R U' F M F' U F M' F' L' M' M'  (12sq) 
x2 R U' F' M F U F' M' F L' M' M'  (12sq) 
R' M' B R B M' B' R' B' L M' M'  (12sq) 
R' M B R B' M B R' B' L M' M'  (12sq) 
L' D L M B' M B R' B' L M' M'  (12sq) 
x2 L' U R U' M U L' M' B' L M' M'  (12sq) 
R' M' U' M' U M U M' U' L M' M'  (12sq) 
D L M B' M' B R' B M' B' B' M  (12sq) 
x2 U R U' M' U L' M' B M' B' B' M  (12sq) 
x2 R M F U F' L' B' R' U' R B M  (12sq) 
x2 R M' F L' M' U M' U' R U' R' M  (12sq) 
x2 L' R' R' U R' U' M U R U' R' M  (12sq) 
L M' M' U R' U' M U R U' R' M  (12sq) 
x2 R M F L' M' U' M U R U' R' M  (12sq) 
R M' B R' B M' B' L M U' R' M  (12sq) 
L U L' M' B M' B' L M U' R' M  (12sq) 
R M B R' B' M B L M U' R' M  (12sq) 
L' L' U R' U M' U' R U' L' R' M  (12sq) 
x2 R' R' U R' U' M U R U' L' R' M  (12sq) 
L' U R' U M' U' R U' L' L' R' M  (12sq) 
x2 L' M' M' U R U M' U' R' U' R M  (12sq) 
R' M' B L M U M' U' R' U' R M  (12sq) 
R' M B L M U' M U R' U' R M  (12sq) 
x2 R' M' F R F M' F' L' M' U' R M  (12sq) 
x2 R' M F R F' M F L' M' U' R M  (12sq) 
x2 L' U L M F' M F L' M' U' R M  (12sq) 
x2 L' M' M' F' M' F M F M' F' R M  (12sq) 
R' R' U R U M' U' R' U' L R M  (12sq) 
x2 L' L' U R U' M U R' U' L R M  (12sq) 
R' R' F' M' F M F M' F' L R M  (12sq) 
x2 L' M F' D M D' F D M' D' R M  (12sq) 
x2 L' M F' D' M D F D' M' D R M  (12sq) 
x2 R U' M B M' B' U B M B' L' M  (12sq) 
x2 R U' M B' M' B U B' M B L' M  (12sq) 
x2 R U' B U B' M B U' B' U L' M  (12sq) 
x2 R U' B' U B M B' U' B U L' M  (12sq) 
x2 L R F U' F' M F U F' L' L' M  (12sq) 
x2 L R F' U' F M F' U F L' L' M  (12sq) 
R' U F U F' M' F U' F' U' L M  (12sq) 
R' U F' U F M' F' U' F U' L M  (12sq) 
R' M' M' F U' F' M F U F' L M  (12sq) 
R' M' M' F' U' F M F' U F L M  (12sq) 
x D M D' M' D' M D' L' L' R' R' U' U'  (13sq) 
x' U' U' R B L' B M' B' L B' R' U' U'  (13sq) 
x' U' U' R' B L' B M' B' L B' R U' U'  (13sq) 
x' U' U' L' D B' D M' D' B D' L U' U'  (13sq) 
x' U' U' L' D' B' D' M' D B D L U' U'  (13sq) 
x' M U' U' M' B L' B M' B' L B' U' U'  (13sq) 
x' M' U' U' M B L' B M' B' L B' U' U'  (13sq) 
x' U' U' B R' M U M' U' R M' B' U' U'  (13sq) 
x' D M' D' M U' M' D M U' D' M' U' U'  (13sq) 
x' M U' U' B U' B M' B' U B' M' U' U'  (13sq) 
x' U' U' M B U' B M' B' U B' M' U' U'  (13sq) 
x' M U' U' B' U' B' M' B U B M' U' U'  (13sq) 
