M B U' B M B' U B' U' M' U M'  (12sq) 
M B U' B' M B U B' U' M' U M'  (12sq) 
M B' U' B M B' U B U' M' U M'  (12sq) 
M B' U' B' M B U B U' M' U M'  (12sq) 
B L' B' M B L B' M U' M' U M'  (12sq) 
M' U' F U F M' F' U' F' M' U M'  (12sq) 
M U' F U F' M F U' F' M' U M'  (12sq) 
M U' F' U F M F' U' F M' U M'  (12sq) 
M' U' F' U F' M' F U' F M' U M'  (12sq) 
R' M' D F' D M' D' F D' R M' M'  (12sq) 
R' M' D F' D' M' D F D' R M' M'  (12sq) 
R' M' D' F' D M' D' F D R M' M'  (12sq) 
R' M' D' F' D' M' D F D R M' M'  (12sq) 
L M' F R' F' M' F R F' L' M' M'  (12sq) 
L' M' F R' F' M' F R F' L M' M'  (12sq) 
R' D L' M' F' M' F R F' L M' M'  (12sq) 
x2 R' U R' U' M' U L M F' L M' M'  (12sq) 
F' F' M' F' R' F' M' F R F' M' M'  (12sq) 
M' F L' M' U' M' U L M F' M' M'  (12sq) 
M B' R B' M' B R' B' M' B' B' M  (12sq) 
M' F B R' F' M' F R F' M B' M  (12sq) 
R' R' B D' B M' B' D B' R' R' M  (12sq) 
R' R' B D' B' M' B D B' R' R' M  (12sq) 
R' R' B' D' B M' B' D B R' R' M  (12sq) 
R' R' B' D' B' M' B D B R' R' M  (12sq) 
L R D R D' M' D R' D' L' R' M  (12sq) 
x2 L M F L M D' M' D R' D' R' M  (12sq) 
L M B R B' M' B L' M' D' R' M  (12sq) 
R D L M B' M' B L' M' D' R' M  (12sq) 
L' R' D R' D' M' D R D' L R M  (12sq) 
x2 L' M' B L' M' D' M' D R D' R M  (12sq) 
L' M' F R' F' M' F L M D' R M  (12sq) 
R' D L' M' F' M' F L M D' R M  (12sq) 
M U' M' U M U M' U M' U' U' M  (12sq) 
M' U M' F L F M F' L' F' U' M  (12sq) 
M U L' B' M B' B' M B' L U' M  (12sq) 
M U' M' U M U' U' M' U' M' U' M  (12sq) 
M U M U' M U' U' M U' M' U' M  (12sq) 
M' F R' F M F' R F M' F' F' M  (12sq) 
L U F' F' U' M' U F' F' U' L' M  (12sq) 
L D R' R' D' M' D R' R' D' L' M  (12sq) 
L' U F' F' U' M' U F' F' U' L M  (12sq) 
L' D R' R' D' M' D R' R' D' L M  (12sq) 
x2 U L' L' M' M' D' M' D R' R' D' M  (12sq) 
x2 U L' R' M' B' M' B L' R' M' D' M  (12sq) 
D L R M B' M' B L' R' M' D' M  (12sq) 
x2 U R' R' U' M' U L' L' M' M' D' M  (12sq) 
D L' R' M' F' M' F L R M D' M  (12sq) 
x2 U L R M F' M' F L R M D' M  (12sq) 
x' F' F' L' B' L' B M' B' L B R U' U'  (13sq) 
x M B' B' D' R' M B M' B' L B U' U'  (13sq) 
x B' B' M D' R' M B M' B' L B U' U'  (13sq) 
x' M F' F' U' L' U M' U' R M' B U' U'  (13sq) 
x' F' F' M U' L' U M' U' R M' B U' U'  (13sq) 
x B L U B U B M B' U' B' U' R' U'  (13sq) 
x B L U B' U B' M B U' B U' R' U'  (13sq) 
x B L U' F U F M F' U' F' U R' U'  (13sq) 
x B L U' F' U F' M F U' F U R' U'  (13sq) 
x M' M' B L B U' B M' B' U B' R' U'  (13sq) 
x M' M' B L B' U' B' M' B U B R' U'  (13sq) 
x' F D' L' M' F M' F' R F' M F' F' U'  (13sq) 
x B U' R' U M' U' L M F' M F' F' U'  (13sq) 
x' F D R M' F' M' F L' F M F' F' U'  (13sq) 
x B U L U' M' U R' M F M F' F' U'  (13sq) 
x B U M U M U' R' U' M' U L F' U'  (13sq) 
x B U' M U' M U L U M' U' R' F U'  (13sq) 
x B R' U F U' F M F' U F' U' L U'  (13sq) 
x B R' U F' U' F' M F U F U' L U'  (13sq) 
x B R' U' B U' B M B' U B' U L U'  (13sq) 
x B R' U' B' U' B' M B U B U L U'  (13sq) 
x M' M' B R' B U B M' B' U' B' L U'  (13sq) 
x M' M' B R' B' U B' M' B U' B L U'  (13sq) 
x R M D R' D' B D' L B R' U' B U'  (13sq) 
x' F' D R B L B' M' B L' B' L' F' U  (13sq) 
x' F' D B R M' D' M' D L' D' M F' U  (13sq) 
x B' U F L F' M' F R' M D' M F' U  (13sq) 
x' F' D' L' B' R' B M' B' R B R F U  (13sq) 
x' F' D' B' L' M' D M' D' R D M F U  (13sq) 
x B' U' F' R' F M' F' L M D M F U  (13sq) 
x B' D R' B M' B' L B' M B M B' U  (13sq) 
x B' D' L B' M' B R' B M B' M B U  (13sq) 
x' L' F L F' M F L' F' R U' M' M' U  (13sq) 
x' R U F' U M U' F U' L' U' M' M' U  (13sq) 
x' R U F' U' M U F U' L' U' M' M' U  (13sq) 
x' R U' F' U M U' F U L' U' M' M' U  (13sq) 
x' R U' F' U' M U F U L' U' M' M' U  (13sq) 
x' M D R M' F' M F L' F' U' M' M' U  (13sq) 
x M U L U' M U R' M F' U' M' M' U  (13sq) 
x L M U' M U' B' U M' U' B U' U' R'  (13sq) 
x L M U M U B' U' M' U B U' U' R'  (13sq) 
x L M' U' R' U' M' U R U' M' U' U' R'  (13sq) 
x' R F L' B R B' M' B R' B' R U' R'  (13sq) 
x' R F R U B' U' M' U B U' L' U' R'  (13sq) 
x' R F R U' B' U M' U' B U L' U' R'  (13sq) 
x L M' U' U' M' U' B' U M' U' B U' R'  (13sq) 
x L U' U' M' M' U' B' U M' U' B U' R'  (13sq) 
x L M U' U' M U' B' U M' U' B U' R'  (13sq) 
x L M' U' U' M' U' B' U' M' U B U' R'  (13sq) 
x L U' U' M' M' U' B' U' M' U B U' R'  (13sq) 
x L M U' U' M U' B' U' M' U B U' R'  (13sq) 
x M U R U' B D' B' L U R' B U' R'  (13sq) 
x M D L U B D B' D' M B' M' U' R'  (13sq) 
x L M D U R D' M' D R' D' M U' R'  (13sq) 
x R F B L M D' M' D R' D' M U' R'  (13sq) 
x' R B F R B' M' B L' M' D' M U' R'  (13sq) 
x' R F' L' B R B' M' B R' B' R U R'  (13sq) 
x' R F' R U B' U' M' U B U' L' U R'  (13sq) 
x' R F' R U' B' U M' U' B U L' U R'  (13sq) 
x L M' U' U' M' U B' U M' U' B U R'  (13sq) 
x L U' U' M' M' U B' U M' U' B U R'  (13sq) 
x L M U' U' M U B' U M' U' B U R'  (13sq) 
x L M' U' U' M' U B' U' M' U B U R'  (13sq) 
x L U' U' M' M' U B' U' M' U B U R'  (13sq) 
x L M U' U' M U B' U' M' U B U R'  (13sq) 
x M' U L' M' B' M' B R B' L' L' R' R'  (13sq) 
x' M' D R' D' M' D L M B' L' L' R' R'  (13sq) 
x L' M' U L' M' B' M' B R B' L' R' R'  (13sq) 
