x F R' F' M F R F'  (7sq*) 
L M' M' D L' M' F M' F' R F' L'  (12sq) 
R F' F' M' F' R' F' M F R F' L'  (12sq) 
x2 L' L' R' M F R' F' M F R F' L'  (12sq) 
R B M' F R' F' M F R B' F' L'  (12sq) 
L D R' D' M D L' R' R' M' F' L'  (12sq) 
L' R' R' U R' U M' U' L M F' L'  (12sq) 
x2 L M' M' U R' U M' U' L M F' L'  (12sq) 
R M F L' M' U M' U' L M F' L'  (12sq) 
R M' F L' M' U' M U L M F' L'  (12sq) 
x2 L' R' M' F R' F M' F' R F' L' L'  (12sq) 
L R M F R' F M' F' R F' L' L'  (12sq) 
x2 R' R' D L' M' F M' F' R F' L' L'  (12sq) 
L R M' F R' F' M F R F' L' L'  (12sq) 
x2 L' R' M F R' F' M F R F' L' L'  (12sq) 
L' L' D L' M' F' M F R F' L' L'  (12sq) 
R' R' U R' U M' U' L M F' L' L'  (12sq) 
x2 L' L' U R' U' M U L M F' L' L'  (12sq) 
x2 R' U L' B M' B' B' M' B L U' L  (12sq) 
x2 R' F' F' U' M' U F' F' U M' U' L  (12sq) 
x2 R' U M U M' U' U' M' U M' U' L  (12sq) 
x2 R' U' M' U' M' U' U' M U M' U' L  (12sq) 
x2 R' F' F' M' F' R' F M' F' R F' L  (12sq) 
L' M' M' D L' M' F M' F' R F' L  (12sq) 
x2 R' F' F' M F' R' F' M F R F' L  (12sq) 
L' D R' D' M D L' R' R' M' F' L  (12sq) 
x2 L' M' M' U R' U M' U' L M F' L  (12sq) 
x2 R' M' F L' M' U M' U' L M F' L  (12sq) 
x2 R' M F L' M' U' M U L M F' L  (12sq) 
x2 M D R' F R' F' M F R F' L B'  (12sq) 
x2 D' L M B M' B' R' B' M' M' B' B'  (12sq) 
U' R U M' U' L' M' B' M' M' B' B'  (12sq) 
x2 M D' R' F R' F' M F R F' L B  (12sq) 
D L' M' F' M' F R F M' F' F' M'  (12sq) 
x2 U R' U' M' U L M F M' F' F' M'  (12sq) 
L' R' B D' B' M B D B' R' R' M'  (12sq) 
