x' L U' L' B' M' M' B L U R' U' M U  (13sq) 
x' R' B L U M' M' U' L' B' L U' M U  (13sq) 
x' R' U R B M' M' B' R' U' L U' M U  (13sq) 
x' B' R' F U' F' M' M' F U F' L M U  (13sq) 
x' B' R' F' U' F M' M' F' U F L M U  (13sq) 
x' L U L B' L U M' U' L' B L' U' R'  (13sq) 
x' R M' B R' M U B' M' B U' L U' R'  (13sq) 
x' L U L' B' L U M' U' L' B L U' R'  (13sq) 
x R M' F U' R M' U M' U' L' B U' R'  (13sq) 
x' R M' B D' L B M' B' R' M B U' R'  (13sq) 
x' L U B' R M' B M' B' R' M B U' R'  (13sq) 
x R M' F L' F U' M' U F' R M' U' R'  (13sq) 
x' L U R' M F U' M' U F' R M' U' R'  (13sq) 
x' L R F L F' D M' D' F L' F' R' R'  (13sq) 
x' L R D F' R F M' F' R' F D' R' R'  (13sq) 
x' L R B M' D' B M' B' D M B' R' R'  (13sq) 
x' L R B' M' D' B' M' B D M B R' R'  (13sq) 
x' L F R' D R' F M' F' R D' R F' R'  (13sq) 
x' L F L F' R D M' D' R' F L' F' R'  (13sq) 
x' L D F' R D F M' F' D' R' F D' R'  (13sq) 
x' L' L' U L' U B' M' B U' L U' L' R'  (13sq) 
x' L' L' U B' L U M' U' L' B U' L' R'  (13sq) 
x' L' U L' U B' M' B U' L U' L' L' R'  (13sq) 
x' L' U B' L U M' U' L' B U' L' L' R'  (13sq) 
x' L' B' U M' B' M' B M U' B L' L' R'  (13sq) 
x' L' B' U' M' B' M' B M U B L' L' R'  (13sq) 
x' L' M' B' M B' M B M' M' B L' L' R'  (13sq) 
x' L' L' B' U M' B' M' B M U' B L' R'  (13sq) 
x' L' L' B' U' M' B' M' B M U B L' R'  (13sq) 
x' L' L' M' B' M B' M B M' M' B L' R'  (13sq) 
x R' R' M B' M B' M B M' M' B L' R'  (13sq) 
x R' R' M' M' B' M' B' M' B M B L' R'  (13sq) 
x' L M' B D' D' M' B M B' D' D' B' R'  (13sq) 
x R U R B' M' B M' B M' B' L' B' R'  (13sq) 
x' L M' B' M' B' M B M B' M' B' B' R'  (13sq) 
x' L M B M B' M' B M' B M' B' B' R'  (13sq) 
x' L M' B M' B' M' B' M B' B' M B' R'  (13sq) 
x' L B M' D' D' B M' B' D' D' M B' R'  (13sq) 
x' L B' U' U' M' B' M' B M U' U' B R'  (13sq) 
x L M' F' M F' M F L' L' R' R' B R'  (13sq) 
x' L B' R D' M' D M' D' M D R' B R'  (13sq) 
x' L B' D B' M D' M' D M' B D' B R'  (13sq) 
x' L B' D' B' M D M' D' M' B D B R'  (13sq) 
x R U' R U M' U' M' U' M' U L' B R'  (13sq) 
x L F' M' F' M' F L' L' R' R' M' B R'  (13sq) 
x' L M' B' D M B' M B M' D' M' B R'  (13sq) 
x' L M' B' D' M B' M B M' D M' B R'  (13sq) 
x' L B' M B' M' B M' B' M B M' B R'  (13sq) 
x L' R' R' M B' M B' M B M' M' B R'  (13sq) 
x' L B' B' M' B M B' M B M' M' B R'  (13sq) 
x' L U' U' B' M' B U' U' M' B' M B R'  (13sq) 
x' L B M B M' B' B' M' M' B' M B R'  (13sq) 
x' L U' U' B M B' U' U' M B' M B R'  (13sq) 
x L' R' R' M' M' B' M' B' M' B M B R'  (13sq) 
x' L M B' B' M' B M' B' M' B M B R'  (13sq) 
x' L M' B' B' M B M' B' M' B M B R'  (13sq) 
