z' x2 S D2 E2 F' S D S2 D' B S R2  (11s) 
x2 S R2 M2 B' S2 D S2 D' B S R2  (11s) 
z' S' D2 B2 F S' D S2 D' B S R2  (11s) 
y' x2 M B2 L R2 U E' S2 D' B S R2  (11s) 
y' x M U2 R' M' U E' S2 D' B S R2  (11s) 
y' M F2 L' M2 U E' S2 D' B S R2  (11s) 
y x2 M' F2 R L2 D M2 U' E B S R2  (11s) 
y x' M' U2 L' M D M2 U' E B S R2  (11s) 
y M' B2 R' M2 D M2 U' E B S R2  (11s) 
z' B' L2 S R S2 R' L2 F L2 S2 R2  (11s) 
z' E2 B' L2 S L E2 L F L2 S2 R2  (11s) 
z' B' L2 S L2 R' S2 R F L2 S2 R2  (11s) 
z' L2 S L2 B' R' S2 R F L2 S2 R2  (11s) 
z' x' U' L2 E L M' S2 R F L2 S2 R2  (11s) 
z' x2 F' L2 S' R M2 S2 R F L2 S2 R2  (11s) 
z' x2 F' L2 S' R S2 R M2 F L2 S2 R2  (11s) 
z' x' U' L2 E R E2 L M' F L2 S2 R2  (11s) 
z R2 F' D S2 D' B U2 S' L2 S2 R2  (11s) 
z U2 F D S M D' M' B F2 S2 R2  (11s) 
z' x' E' B2 U' M' E2 R E2 L' F S2 R2  (11s) 
z x2 S' U2 B' L2 S2 L' E2 L' F S2 R2  (11s) 
z E2 S' U2 F2 B L E2 L' F S2 R2  (11s) 
S' L2 S M2 F' L E2 L' F S2 R2  (11s) 
z' E2 S' D2 B' S2 L E2 L' F S2 R2  (11s) 
M2 S' L2 F' S L E2 L' F S2 R2  (11s) 
z' x2 S D2 E2 B F2 R S2 R' F S2 R2  (11s) 
z x2 S U2 S2 E2 B' R S2 R' F S2 R2  (11s) 
z' x2 S D2 F2 E2 B R S2 R' F S2 R2  (11s) 
x2 S R2 M2 F' S R S2 R' F S2 R2  (11s) 
z x2 S U2 E2 B' S2 R S2 R' F S2 R2  (11s) 
z2 S' R2 B2 F S' R S2 R' F S2 R2  (11s) 
z x E B2 D U2 L M S2 R' F S2 R2  (11s) 
x E L2 U' E' L M S2 R' F S2 R2  (11s) 
z' x E F2 D' E2 L M S2 R' F S2 R2  (11s) 
z x' E' F2 U D2 R E2 L' M' F S2 R2  (11s) 
x' E' L2 D' E R E2 L' M' F S2 R2  (11s) 
z' x' E' B2 U' E2 R E2 L' M' F S2 R2  (11s) 
z x2 U2 F U S M' U' S2 M B' S2 R2  (11s) 
x2 R2 F R S' E S2 R' E' F' S' R2  (11s) 
x2 R2 M2 F R S E R' E' F' S' R2  (11s) 
z U2 B S' R S E R' E' F' S' R2  (11s) 
