x2 D2 F U' M2 F2 M F2 U F' U M' D2 U'  (13s) 
x2 D2 F U' B2 M B2 M2 U F' U M' D2 U'  (13s) 
x2 U F' M' F D2 F2 M' F' M' F' M D2 U'  (13s) 
x2 U B R2 B' M' B2 M2 B' R2 B M B2 U'  (13s) 
x2 U R U F2 U' M U F2 M2 U' R' M' U'  (13s) 
x2 F U M U' F' U L F' M2 F L' M' U'  (13s) 
x2 U2 F M' D2 M U D2 M' U' F' U' M' U'  (13s) 
x2 M2 U2 F M' U2 M' U' M' U' F' U' M' U'  (13s) 
x2 U2 M2 F M' U2 M' U' M' U' F' U' M' U'  (13s) 
x2 U2 F B2 M B2 M' U M' U' F' U' M' U'  (13s) 
x2 M2 U2 F' M' F2 M' U M' U' F' U' M' U'  (13s) 
x2 U2 M2 F' M' F2 M' U M' U' F' U' M' U'  (13s) 
L2 M2 B' R2 U' M' U' L2 F' L2 U' M' U'  (13s) 
R2 F' L2 M2 U' M' U' L2 F' L2 U' M' U'  (13s) 
R2 F' R2 D' M' D' R2 M2 F' L2 U' M' U'  (13s) 
R2 F' R2 D' M' D' L2 B' R2 M2 U' M' U'  (13s) 
x2 F M' U2 M' D2 U' M U' D2 F' U M' U'  (13s) 
x2 F' M' F2 M' D2 U M U' D2 F' U M' U'  (13s) 
x2 M2 F M' D2 M U M U' D2 F' U M' U'  (13s) 
x2 F B2 U M U M U2 M B2 F' U M' U'  (13s) 
x' U L D2 M D2 R' U' M' U F' U M' U'  (13s) 
x' U R' D2 M D2 L U' M' U F' U M' U'  (13s) 
x2 F' U2 M U2 M' F2 U' M' U F' U M' U'  (13s) 
x2 F2 M2 F M' F2 M' U' M' U F' U M' U'  (13s) 
x2 F M U2 M U2 M2 U' M' U F' U M' U'  (13s) 
x2 F M2 F2 M F2 M U' M' U F' U M' U'  (13s) 
x2 F U2 M' F2 M F2 U M' U F' U M' U'  (13s) 
x2 F2 M2 F' M' U2 M' U M' U F' U M' U'  (13s) 
x2 M2 B2 F U M U' M B2 M' F' U M' U'  (13s) 
