F U M2 U2 M U F' U M U'  (10s*) 
x' D F' L2 R B2 M2 B2 L U F' U M U'  (13s) 
x U B' R' M2 B2 M2 B2 L U F' U M U'  (13s) 
F U' L' M B2 M2 B2 L U F' U M U'  (13s) 
x M2 U B' R' U2 M2 U2 L U F' U M U'  (13s) 
x' D F' L2 R F2 M2 F2 L U F' U M U'  (13s) 
x U B' R' M2 F2 M2 F2 L U F' U M U'  (13s) 
F U' L' M F2 M2 F2 L U F' U M U'  (13s) 
x M2 U B' R' D2 M2 D2 L U F' U M U'  (13s) 
F U' M D2 B2 M2 B2 D2 U F' U M U'  (13s) 
F U' M D2 F2 M2 F2 D2 U F' U M U'  (13s) 
F2 M2 F' U' M' D2 M2 D2 U F' U M U'  (13s) 
M2 F U F2 M2 F2 U2 M' U F' U M U'  (13s) 
M2 F U B2 M2 B2 U2 M' U F' U M U'  (13s) 
F D2 U M2 D2 M2 U2 M' U F' U M U'  (13s) 
x2 B D' L2 U2 M2 U2 R2 M' U F' U M U'  (13s) 
x2 B D' L2 D2 M2 D2 R2 M' U F' U M U'  (13s) 
F2 M2 F' U' F2 M2 F2 M' U F' U M U'  (13s) 
F D2 U M2 U2 M2 D2 M' U F' U M U'  (13s) 
x2 B D' R2 U2 M2 U2 L2 M' U F' U M U'  (13s) 
x2 B D' R2 D2 M2 D2 L2 M' U F' U M U'  (13s) 
F2 M2 F' U' B2 M2 B2 M' U F' U M U'  (13s) 
x U B' L F2 M2 F2 R' M2 U F' U M U'  (13s) 
x U B' L B2 M2 B2 R' M2 U F' U M U'  (13s) 
F D2 U M' U2 M2 D2 M2 U F' U M U'  (13s) 
M2 F U' M D2 M2 D2 M2 U F' U M U'  (13s) 
x U B' R' F2 M2 F2 L M2 U F' U M U'  (13s) 
x U B' R' B2 M2 B2 L M2 U F' U M U'  (13s) 
M2 F U' M U2 M2 U2 M2 U F' U M U'  (13s) 
F D2 U M' D2 M2 U2 M2 U F' U M U'  (13s) 
F U' R D2 M2 D2 R' M U F' U M U'  (13s) 
F U' R U2 M2 U2 R' M U F' U M U'  (13s) 
F U' R2 D2 M2 D2 R2 M U F' U M U'  (13s) 
F U' R2 U2 M2 U2 R2 M U F' U M U'  (13s) 
F U' R' D2 M2 D2 R M U F' U M U'  (13s) 
F U' R' U2 M2 U2 R M U F' U M U'  (13s) 
F U' B2 D2 M2 D2 B2 M U F' U M U'  (13s) 
F U' B2 U2 M2 U2 B2 M U F' U M U'  (13s) 
M2 F U' M2 B2 M2 B2 M U F' U M U'  (13s) 
M F2 M' F' U M2 U2 M U F' U M U'  (13s) 
M2 F2 M2 F' U M2 U2 M U F' U M U'  (13s) 
M' F2 M F' U M2 U2 M U F' U M U'  (13s) 
F U' L D2 M2 D2 L' M U F' U M U'  (13s) 
F U' L U2 M2 U2 L' M U F' U M U'  (13s) 
F U' L2 D2 M2 D2 L2 M U F' U M U'  (13s) 
F U' L2 U2 M2 U2 L2 M U F' U M U'  (13s) 
F U' L' D2 M2 D2 L M U F' U M U'  (13s) 
F U' L' U2 M2 U2 L M U F' U M U'  (13s) 
F U' F2 D2 M2 D2 F2 M U F' U M U'  (13s) 
F U' F2 U2 M2 U2 F2 M U F' U M U'  (13s) 
M2 F U' M2 F2 M2 F2 M U F' U M U'  (13s) 
F U M2 U2 M U F M F2 M' U M U'  (13s) 
D U R' D M U2 M2 D' U2 R D' M U'  (13s) 
D U R' D' M2 U2 M D U2 R D' M U'  (13s) 
M2 U D R' D' M2 D2 M' D' R D' M U'  (13s) 
D U R' D B2 M2 B2 M D' R D' M U'  (13s) 
D U R' D F2 M2 F2 M D' R D' M U'  (13s) 
x' B F L' M' D M D2 M2 D R D' M U'  (13s) 
x F B R' F M F2 M2 F L M D' M U'  (13s) 
x B2 L U' M' U2 M' U M U' M2 U' R' U2  (13s) 
F M' U2 M' U2 F' U2 R U M2 U' R' U2  (13s) 
F' D2 M' D2 M' F U2 R U M2 U' R' U2  (13s) 
x2 L2 F' U2 L2 D2 B' L2 R U M2 U' R' U2  (13s) 
x2 L2 B' R2 U2 L2 F' L2 R U M2 U' R' U2  (13s) 
U2 F M' U2 M' U2 F' R U M2 U' R' U2  (13s) 
U2 F' D2 M' D2 M' F R U M2 U' R' U2  (13s) 
x U M U2 M U M B2 L U M2 U' R' U2  (13s) 
L2 B' D2 L2 U2 F' R' M2 U M2 U' R' U2  (13s) 
L2 F' R2 D2 L2 B' R' M2 U M2 U' R' U2  (13s) 
x' L2 U' B2 L2 F2 D' L' M U M2 U' R' U2  (13s) 
x' L2 D' R2 B2 L2 U' L' M U M2 U' R' U2  (13s) 
x U' M' U2 M' U' B2 L M U M2 U' R' U2  (13s) 
x B2 U' M' U2 M' U' L M U M2 U' R' U2  (13s) 
x B2 L U' M' U2 M' U' M U M2 U' R' U2  (13s) 
x B2 L U' B2 U M' U' M' B2 M' U R' U2  (13s) 
x B2 L U' B2 U' M' U M' B2 M' U R' U2  (13s) 
x B2 L U' M U2 M' U' M' U' M2 U R' U2  (13s) 
x B2 L U' M U2 M' U M' U M2 U R' U2  (13s) 
x B2 R B' M' B U2 B M2 B' U2 L R2 U2  (13s) 
x B2 R U2 B' M' B U2 B M2 B' L R2 U2  (13s) 
U' M' U' M' F' U M U' M2 F2 M' F' U2  (13s) 
U M' U F U' M2 U2 M U' F M2 F2 U2  (13s) 
x M2 B2 U' L F2 U M U' M2 F2 R' F U2  (13s) 
x B2 M2 U' L F2 U M U' M2 F2 R' F U2  (13s) 
U2 F' R M' B2 M2 U' M' U B2 R' F U2  (13s) 
x' D' M' D M F2 D' R F' M' F L' F U2  (13s) 
x2 D2 B' M' F2 L2 R' U' M' U R' B2 F U2  (13s) 
x B2 U' M' D2 L M' U' M' U R' B2 F U2  (13s) 
U2 F' M' B2 R M2 U' M' U R' B2 F U2  (13s) 
U2 F' L U2 M2 F' M' F U2 L' M' F U2  (13s) 
x' F2 R F M' U2 M2 F M2 F' U2 F' L' U2  (13s) 
x' F2 R F M' D2 F' M2 F M2 D2 F' L' U2  (13s) 
x' F2 R F' M F' M2 F M F2 M' F' L' U2  (13s) 
x' F2 R F U2 M' F M2 F' U2 M2 F' L' U2  (13s) 
x' F2 R F' M' F M2 D2 F' M2 F D2 L' U2  (13s) 
